Epoch,Train_Loss,Val_Loss,Val_Accuracy,Trans_X_Acc,Trans_Y_Acc,Trans_Z_Acc,Rot_X_Acc,Rot_Y_Acc,Rot_Z_Acc,Gripper_Acc
0,2.3161,0.4756,0.5244,0.045,0.034,0.347,0.892,0.886,0.545,0.920
1,1.7956,0.4602,0.5398,0.040,0.057,0.415,0.898,0.886,0.562,0.920
2,1.6097,0.4497,0.5503,0.051,0.074,0.403,0.909,0.909,0.585,0.920
3,1.4941,0.4221,0.5779,0.080,0.131,0.438,0.909,0.938,0.631,0.920
4,1.3937,0.4042,0.5958,0.102,0.114,0.483,0.960,0.955,0.636,0.920
5,1.3212,0.3831,0.6169,0.148,0.131,0.523,0.972,0.955,0.670,0.920
6,1.2633,0.3807,0.6193,0.148,0.159,0.511,0.966,0.966,0.670,0.915
7,1.2137,0.3742,0.6258,0.119,0.170,0.511,0.977,0.966,0.716,0.920
8,1.1782,0.3750,0.6250,0.188,0.142,0.528,0.949,0.943,0.705,0.920
9,1.1309,0.3555,0.6445,0.205,0.188,0.528,0.977,0.966,0.716,0.932
10,1.0948,0.3458,0.6542,0.227,0.182,0.557,0.972,0.972,0.756,0.915
11,1.0563,0.3547,0.6453,0.227,0.170,0.534,0.972,0.966,0.750,0.898
12,1.0259,0.3425,0.6575,0.199,0.199,0.580,0.977,0.972,0.756,0.920
13,0.9951,0.3482,0.6518,0.244,0.176,0.511,0.977,0.977,0.756,0.920
14,0.9672,0.3369,0.6631,0.256,0.199,0.557,0.977,0.955,0.778,0.920
15,0.9439,0.3531,0.6469,0.193,0.188,0.591,0.960,0.955,0.756,0.886
16,0.9350,0.3320,0.6680,0.261,0.222,0.562,0.977,0.972,0.767,0.915
17,0.8897,0.3360,0.6640,0.250,0.193,0.597,0.972,0.960,0.756,0.920
18,0.8655,0.3190,0.6810,0.307,0.199,0.597,0.977,0.972,0.801,0.915
19,0.8404,0.3117,0.6883,0.307,0.239,0.580,0.977,0.972,0.807,0.938
20,0.8294,0.3239,0.6761,0.250,0.227,0.568,0.977,0.972,0.818,0.920
21,0.8011,0.3231,0.6769,0.273,0.216,0.574,0.977,0.955,0.812,0.932
22,0.7841,0.3109,0.6891,0.284,0.222,0.636,0.983,0.960,0.818,0.920
23,0.7581,0.3109,0.6891,0.267,0.256,0.602,0.972,0.972,0.801,0.955
24,0.7532,0.3052,0.6948,0.318,0.256,0.597,0.983,0.972,0.818,0.920
25,0.7351,0.3093,0.6907,0.324,0.227,0.602,0.977,0.972,0.812,0.920
26,0.7086,0.3060,0.6940,0.341,0.256,0.591,0.977,0.977,0.790,0.926
27,0.7176,0.3093,0.6907,0.324,0.256,0.597,0.983,0.972,0.784,0.920
28,0.6912,0.3003,0.6997,0.330,0.256,0.597,0.972,0.977,0.835,0.932
29,0.6682,0.3109,0.6891,0.352,0.199,0.602,0.983,0.966,0.812,0.909
30,0.6535,0.2906,0.7094,0.352,0.239,0.659,0.983,0.972,0.841,0.920
31,0.6425,0.3036,0.6964,0.295,0.273,0.608,0.977,0.977,0.830,0.915
32,0.6253,0.2955,0.7045,0.312,0.250,0.665,0.983,0.960,0.835,0.926
33,0.6123,0.2890,0.7110,0.318,0.261,0.670,0.977,0.977,0.830,0.943
34,0.5968,0.3036,0.6964,0.335,0.233,0.625,0.977,0.960,0.812,0.932
35,0.5915,0.3109,0.6891,0.324,0.273,0.591,0.977,0.949,0.830,0.881
36,0.5820,0.2833,0.7167,0.364,0.278,0.648,0.989,0.989,0.835,0.915
37,0.5578,0.2906,0.7094,0.341,0.273,0.653,0.977,0.966,0.824,0.932
38,0.5375,0.3019,0.6981,0.330,0.256,0.602,0.977,0.977,0.818,0.926
39,0.5264,0.2841,0.7159,0.375,0.244,0.653,0.989,0.960,0.847,0.943
40,0.5314,0.2963,0.7037,0.335,0.284,0.602,0.977,0.972,0.824,0.932
41,0.5145,0.2906,0.7094,0.330,0.261,0.665,0.983,0.983,0.835,0.909

