Metric,Value
Total_Epochs,42
Best_Epoch,36
Best_Val_Loss,0.2833
Best_Val_Accuracy,71.67%
Best_Trans_X_Accuracy,36.4%
Best_Trans_Y_Accuracy,27.8%
Best_Trans_Z_Accuracy,64.8%
Best_Rot_X_Accuracy,98.9%
Best_Rot_Y_Accuracy,98.9%
Best_Rot_Z_Accuracy,83.5%
Best_Gripper_Accuracy,91.5%
Final_Train_Loss,0.5145
Training_Loss_Reduction,77.8%
Val_Loss_Reduction,40.4%
Data_Split_Train,80%
Data_Split_Val,10%
Data_Split_Test,10%
Training_Samples,1416
Validation_Samples,178
Test_Samples,178
Batch_Size,8
Early_Stopping_Patience,5
Model_Architecture,BERT-based
Text_Encoder,BERT-base-uncased
Vision_Encoder,CLIP-ViT-B/32
3D_Preprocessing,Enabled
Object_Detection,YOLOv8n
Depth_Estimation,MiDaS
Training_Device,AWS_EC2_g5.2xlarge
GPU_Memory,24GB

